resume_id,domain,predicted_score,ground_truth_score,decision,confidence
,Finance,6.5,8.436363623140501,Hold,7.0
,Finance,7.2,9.200000000000001,Hold,7.0
,Finance,7.5,8.71578947036011,Hold,8.0
,Finance,7.0,8.7,Hire,8.0
,Finance,7.5,9.01428565306124,Hire,8.0
,Finance,6.0,6.503030248117546,Hold,7.0
,Finance,7.0,8.592307694674554,Hold,7.0
,Finance,7.5,8.809090923966938,Hire,8.0
,Finance,7.0,8.5,Hire,7.0
,Finance,3.4,6.340540455076708,Hold,6.0
,Finance,6.5,8.149999966666677,Hold,7.0
,Finance,6.0,8.276923037869832,Hold,7.0
,Finance,7.2,7.399999981818185,Hire,8.0
,ACCOUNTANT,6.0,8.29999994666668,Hold,7.0
,ACCOUNTANT,6.0,8.082608663894145,Hold,7.0
,ACCOUNTANT,7.5,9.233333271111128,Hire,8.0
,ACCOUNTANT,5.0,8.269230758579882,Hold,7.0
,ACCOUNTANT,5.8,8.799999988888892,Hold,7.0
,ACCOUNTANT,7.0,8.936363623140501,Hold,7.0
,ACCOUNTANT,6.5,8.826666659555558,Hold,7.0
,ACCOUNTANT,7.0,8.238461526627223,Hold,7.0
,ACCOUNTANT,6.8,8.566666644444451,Hold,7.0
,ACCOUNTANT,7.0,8.379999992000002,Hire,8.0
,ACCOUNTANT,6.4,8.542105233241005,Hold,7.0
,ACCOUNTANT,8.0,8.515384579881667,Hire,8.0
,ACCOUNTANT,6.5,8.174999918750022,Hold,7.0
,ACCOUNTANT,7.5,7.974999943750014,Hold,7.0
,ACCOUNTANT,5.0,8.266666640740745,Hold,6.0
,ACCOUNTANT,6.5,8.109090887603314,Hold,7.0
,ACCOUNTANT,8.0,9.049999887500027,Hire,8.0
,ACCOUNTANT,6.8,8.71666662962964,Hold,7.0
,ACCOUNTANT,7.0,8.633333255555584,Hold,7.0
,ACCOUNTANT,6.5,9.161538411834336,Hold,7.0
,ACCOUNTANT,7.0,8.859999864000036,Hold,7.0
,ACCOUNTANT,6.5,8.866666651851855,Hold,7.0
,ACCOUNTANT,7.5,8.76428562448982,Hold,8.0
,ACCOUNTANT,7.0,9.271428408163313,Hold,7.0
,ACCOUNTANT,7.4,8.306666678222218,Hold,7.0
,ACCOUNTANT,7.5,9.149999999999999,Hire,8.0
,ACCOUNTANT,6.5,7.43333324814817,Hold,7.0
,ACCOUNTANT,7.5,8.846666667555555,Hold,8.0
,ACCOUNTANT,6.0,7.274999931250016,Hire,7.0
,ACCOUNTANT,6.5,8.639999984000008,Hold,7.0
,ACCOUNTANT,7.0,9.54285708775512,Hold,8.0
,ACCOUNTANT,7.5,8.509999816000079,Hold,8.0
,ACCOUNTANT,6.5,7.600000042857131,Hold,7.0
,ACCOUNTANT,7.5,8.739999976000005,Hold,8.0
,ACCOUNTANT,6.5,8.539999844000064,Hold,7.0
,ACCOUNTANT,8.25,9.026315699723007,Hire,8.0
,ACCOUNTANT,5.0,6.493749964062508,Hold,7.0
,ACCOUNTANT,8.5,9.214285734693865,Hire,9.0
,ACCOUNTANT,7.0,8.766666662222223,Hire,7.0
,ACCOUNTANT,7.0,8.688888869135807,Hold,7.0
,ACCOUNTANT,6.0,6.633333222222257,Hire,7.0
,ACCOUNTANT,7.5,8.052631567867037,Hire,8.0
,ACCOUNTANT,7.0,8.666666444444518,Hold,7.0
,ACCOUNTANT,7.0,7.511764703114188,Hold,7.0
,ACCOUNTANT,6.5,7.833333281481492,Hold,7.0
,ACCOUNTANT,6.0,8.46315789196676,Hold,7.0
,ACCOUNTANT,7.0,8.587499990625002,Hold,7.0
,ACCOUNTANT,7.7,9.114285695918374,Hold,7.0
,ACCOUNTANT,7.5,9.176923068639056,Hold,7.0
,ACCOUNTANT,6.5,8.571428579591833,Hold,7.0
,ACCOUNTANT,6.5,8.65,Hold,7.0
,TEACHER,6.12,8.742105296398886,Hold,7.0
,TEACHER,8.5,8.853846168047335,Hire,9.0
,TEACHER,7.0,8.540000041599994,Hold,7.0
,TEACHER,5.0,6.878571438775509,Hold,7.0
,TEACHER,6.75,7.3230770349112255,Hold,7.0
,TEACHER,6.5,7.700000012499997,Hold,7.0
,TEACHER,7.5,8.84166668472222,Hold,8.0
,TEACHER,8.4,7.366666790123439,Hire,8.0
,TEACHER,7.4,8.35000004615384,Hold,7.0
,TEACHER,8.2,8.800000016666662,Hold,7.0
,TEACHER,6.19,7.731372558323722,Hold,7.0
,TEACHER,7.5,8.652941164013846,Hire,8.0
,TEACHER,7.5,8.06842103822715,Hold,7.0
,TEACHER,5.4,7.252777788580245,Hold,7.0
,TEACHER,5.0,6.677777830246906,Hold,6.0
,TEACHER,7.4,6.907407406310013,Hire,8.0
,TEACHER,5.0,6.448571434448979,Hold,7.0
,TEACHER,7.5,8.5173912752363,Hold,7.0
,TEACHER,6.5,7.349999999999999,Hold,7.0
,TEACHER,7.0,7.471428595918363,Hold,7.0
,TEACHER,6.5,6.986206891557671,Hold,7.0
,TEACHER,7.0,7.5806451508844965,Hold,7.0
,TEACHER,6.5,6.617241363139124,Hold,7.0
,TEACHER,7.5,6.775000024999992,Hold,7.0
,TEACHER,7.5,8.971186439241595,Hold,7.0
,TEACHER,7.0,6.777777773662552,Hold,7.0
,TEACHER,6.5,8.243750007031249,Hold,7.0
,TEACHER,5.0,6.855172413555291,Hold,6.0
,TEACHER,7.0,7.970000035999993,Hire,8.0
,TEACHER,6.5,7.881818196143248,Hold,7.0
,TEACHER,7.5,8.019999981333338,Hire,8.0
,TEACHER,8.0,8.306249985937503,Hire,8.0
,TEACHER,5.0,6.245454537190085,Hold,7.0
,TEACHER,7.0,7.10416665763889,Hold,7.0
,TEACHER,6.5,8.77619048072562,Hold,7.0
,TEACHER,3.0,6.3272727300275475,Hold,0.7
,TEACHER,6.5,7.325000004166665,Hold,7.0
,TEACHER,6.5,8.042857151020407,Hold,7.0
,TEACHER,6.5,7.030000003999999,Hold,7.0
,TEACHER,7.5,7.7645161336108215,Hold,7.0
,TEACHER,7.75,7.32400000416,Hire,8.0
,TEACHER,7.2,8.750000012499996,Hire,8.0
,TEACHER,7.0,6.300000049999975,Hire,7.0
,TEACHER,7.5,7.526923065088759,Hold,8.0
,TEACHER,7.0,8.484210540166204,Hire,8.0
,TEACHER,6.0,5.858823574394454,Hold,7.0
,TEACHER,7.5,9.06666667222222,Hire,8.0
,TEACHER,5.0,6.333333336111111,Hold,7.0
,TEACHER,5.25,7.387096801664928,Hold,7.0
,TEACHER,7.2,8.514285695918373,Hold,8.0
,Apparel,5.5,3.420338968112613,Hire,7.0
,Apparel,4.5,2.5283018857244572,Hold,6.0
,Apparel,7.0,7.407894720221608,Hire,8.0
,Apparel,6.25,6.552941182006919,Hold,7.0
,Apparel,5.5,4.225925919707363,Hold,6.0
,Apparel,7.4,8.31702125812585,Hire,8.0
,Apparel,6.5,6.309803932564398,Hold,7.0
,Apparel,7.0,7.884375008203125,Hold,7.0
,Apparel,3.2,1.800000033333329,Hold,0.7
,Apparel,4.0,2.46399999488,Hold,7.0
,Apparel,5.5,4.909090940082642,Hold,7.0
,Apparel,5.0,4.244444439780522,Hold,6.0
,Apparel,6.2,1.179452047701257,Hold,7.0
,Apparel,6.25,3.0399999934545456,Hold,7.0
,Apparel,6.0,3.1754385982148348,Hold,7.0
,Apparel,4.5,1.354545435812674,Hold,6.0
,Apparel,8.8,8.91599999744,Hire,9.0
,Apparel,7.5,3.150000002777777,Hold,7.0
,Apparel,4.5,2.722413781212842,Hold,7.0
,Apparel,6.5,4.945762698592358,Hold,7.0
,Apparel,5.0,2.273118272123946,Hold,6.0
,Apparel,6.5,8.055555550617283,Hold,7.0
,Apparel,5.0,1.500000039999996,Hold,7.0
,Apparel,6.2,6.214285721282797,Hold,7.0
,Apparel,5.0,3.0386666619377776,Hold,7.0
,Apparel,5.0,3.96612902476587,Hold,6.0
,Apparel,5.44,2.2952380907029477,Hold,7.0
,Apparel,5.2,1.3061224484798002,Hold,7.0
,Apparel,5.0,6.8344827562425685,Hold,6.0
,Apparel,5.0,2.930769226035504,Hold,6.0
,Apparel,7.69,6.949122803570329,Hire,8.0
,Apparel,6.5,8.072727263801653,Hold,7.0
,Apparel,7.0,5.733898302786555,Hold,7.0
,Apparel,7.0,6.714285717201166,Hold,7.0
,Apparel,7.0,4.3,Hold,7.0
,Apparel,7.0,9.109677398751304,Hold,7.0
,Apparel,5.5,4.41538462919132,Hold,10.0
,Apparel,8.0,9.575000003124998,Hire,8.0
,Apparel,5.25,3.120833331597222,Hold,7.0
,Apparel,5.5,2.7245901721580217,Hold,6.0
,Apparel,4.0,0.8126760556238841,Hold,10.0
,Apparel,7.5,8.333333318518521,Hire,8.0
,Apparel,7.0,7.1314285621224505,Hold,7.0
,Apparel,7.0,8.185714270204084,Hold,7.0
,Apparel,8.0,6.009433957778569,Hire,8.0
,Apparel,7.0,8.019444447839506,Hire,7.0
,Apparel,4.38,1.4000000000000001,Hold,7.0
,Apparel,6.5,3.320000021333327,Hold,7.0
,Apparel,7.5,3.226666659555557,Hire,8.0
,Apparel,2.5,0.245945962600436,Reject,0.8
,Research Assistant,6.8,9.599999933333365,Hold,7.0
,Research Assistant,5.6,8.500000054545435,Hold,7.0
,Research Assistant,8.0,9.37142855918368,Hire,8.0
,Research Assistant,8.1,9.330769221301779,Hire,8.0
,Research Assistant,8.7,9.566666659259264,Hire,9.0
,Research Assistant,7.0,8.939999984000007,Hire,7.0
,Research Assistant,5.6,7.152380961451246,Hold,7.0
,Research Assistant,8.0,9.350000000000001,Hire,8.0
,Research Assistant,8.0,9.325000008333332,Hire,8.0
,Research Assistant,5.0,8.2,Hold,7.0
,Research Assistant,6.7,8.5333332740741,Hold,7.0
,Research Assistant,7.0,8.673076919526627,Hold,7.0
,Research Assistant,6.0,7.758064515088449,Hold,7.0
,Research Assistant,7.0,9.046666667555556,Hold,7.0
,Research Assistant,5.5,8.35517241997622,Hold,7.0
,Research Assistant,6.0,8.240000002666667,Hold,7.0
,Research Assistant,5.0,7.893333325037037,Hold,7.0
,Research Assistant,7.25,9.106666664888888,Hire,0.8
,Research Assistant,7.5,9.633333338888884,Hold,8.0
,Research Assistant,6.2,8.587500003125,Hold,7.0
,Research Assistant,8.0,9.0,Hire,8.0
,Research Assistant,7.5,9.058333330555556,Hold,7.0
,Research Assistant,7.25,9.2090908694215,Hold,10.0
,Research Assistant,6.8,8.576923084023667,Hold,7.0
,Research Assistant,8.0,8.787500031249984,Hire,8.0
,Research Assistant,6.8,8.661111086419758,Hire,7.0
,Research Assistant,6.5,8.979999968000012,Hold,7.0
,Research Assistant,6.5,8.594999991000002,Hold,10.0
,Research Assistant,6.5,8.446153816568057,Hold,7.0
,Research Assistant,6.5,8.200000000000001,Hold,7.0
,Research Assistant,6.6,8.122222212345685,Hold,7.0
,Research Assistant,7.0,8.353846152662722,Hire,7.0
,Research Assistant,7.5,9.1,Hire,8.0
,Research Assistant,7.25,8.93076923668639,Hire,8.0
,Research Assistant,7.0,9.066666659259264,Hold,7.0
,Research Assistant,8.0,8.818181811570248,Hire,8.0
,Research Assistant,5.8,8.109090905785125,Hold,7.0
,Research Assistant,8.1,9.246153839053257,Hire,8.0
,Research Assistant,7.0,8.40000001666666,Hold,7.0
,Research Assistant,6.0,8.326153853775146,Hold,10.0
,Research Assistant,7.0,8.559999976000011,Hold,7.0
,Research Assistant,8.0,8.726315794459833,Hire,8.0
,Research Assistant,8.0,8.966666661111113,Hire,8.0
,Research Assistant,7.0,8.946666673777777,Hire,7.0
,Research Assistant,8.0,8.600000000000001,Hire,8.0
,Research Assistant,6.5,8.68461534319528,Hire,7.0
,Research Assistant,7.8,9.259999984000004,Hire,8.0
,Research Assistant,7.2,8.728571440816319,Hire,8.0
,Research Assistant,8.07,9.200000000000001,Hire,8.0
,Research Assistant,7.5,9.15454543471075,Hire,8.0
,Research Assistant,8.0,9.309090869421503,Hire,8.0
