resume_id,domain,predicted_score,ground_truth_score,decision,confidence
,ACCOUNTANT,7.0,0.8699999999999999,Hold,7.0
,ACCOUNTANT,7.4,0.835,Hold,7.0
,ACCOUNTANT,7.5,0.915,Hire,8.0
,ACCOUNTANT,6.5,0.705,Hold,7.0
,ACCOUNTANT,7.5,0.885,Hold,8.0
,ACCOUNTANT,6.0,0.7,Hire,7.0
,ACCOUNTANT,6.5,0.86,Hold,7.0
,ACCOUNTANT,7.0,0.935,Hold,8.0
,ACCOUNTANT,7.5,0.8049999999999999,Hold,8.0
,ACCOUNTANT,6.5,0.775,Hold,7.0
,ACCOUNTANT,7.5,0.865,Hold,8.0
,ACCOUNTANT,6.5,0.815,Hold,7.0
,ACCOUNTANT,8.25,0.8599999999999999,Hire,8.0
,ACCOUNTANT,5.0,0.635,Hold,7.0
,ACCOUNTANT,8.5,0.9249999999999999,Hire,9.0
,ACCOUNTANT,7.0,0.875,Hire,7.0
,ACCOUNTANT,7.0,0.8600000000000001,Hold,7.0
,ACCOUNTANT,6.0,0.63,Hire,7.0
,ACCOUNTANT,7.5,0.8,Hire,8.0
,ACCOUNTANT,7.0,0.8,Hold,7.0
,ACCOUNTANT,7.0,0.75,Hold,7.0
,ACCOUNTANT,6.5,0.76,Hold,7.0
,ACCOUNTANT,6.0,0.845,Hold,7.0
,ACCOUNTANT,7.0,0.855,Hold,7.0
,ACCOUNTANT,7.7,0.905,Hold,7.0
,ACCOUNTANT,7.5,0.915,Hold,7.0
,ACCOUNTANT,6.5,0.86,Hold,7.0
,ACCOUNTANT,6.5,0.865,Hold,7.0
,TEACHER,6.12,0.89,Hold,7.0
,TEACHER,8.5,0.89,Hire,9.0
,TEACHER,7.0,0.8800000000000001,Hold,7.0
,TEACHER,5.0,0.6950000000000001,Hold,7.0
,TEACHER,6.75,0.8049999999999999,Hold,7.0
,TEACHER,6.5,0.78,Hold,7.0
,TEACHER,7.5,0.895,Hold,8.0
,TEACHER,8.4,0.8200000000000001,Hire,8.0
,TEACHER,7.4,0.865,Hold,7.0
,TEACHER,8.2,0.89,Hold,7.0
,TEACHER,6.19,0.7849999999999999,Hold,7.0
,TEACHER,7.5,0.86,Hire,8.0
,TEACHER,7.5,0.8,Hold,7.0
,TEACHER,5.4,0.735,Hold,7.0
,TEACHER,5.0,0.7150000000000001,Hold,6.0
,TEACHER,7.4,0.69,Hire,8.0
,TEACHER,5.0,0.65,Hold,7.0
,TEACHER,7.5,0.835,Hold,7.0
,TEACHER,6.5,0.735,Hold,7.0
,TEACHER,7.0,0.76,Hold,7.0
,TEACHER,6.5,0.6950000000000001,Hold,7.0
,TEACHER,7.0,0.75,Hold,7.0
,TEACHER,6.5,0.65,Hold,7.0
,TEACHER,7.5,0.685,Hold,7.0
,TEACHER,7.5,0.895,Hold,7.0
,TEACHER,7.0,0.675,Hold,7.0
,TEACHER,6.5,0.8300000000000001,Hold,7.0
,TEACHER,5.0,0.685,Hold,6.0
,TEACHER,7.0,0.815,Hire,8.0
,TEACHER,6.5,0.8,Hold,7.0
,TEACHER,7.5,0.795,Hire,8.0
,TEACHER,8.0,0.825,Hire,8.0
,TEACHER,5.0,0.62,Hold,7.0
,TEACHER,7.0,0.7050000000000001,Hold,7.0
,TEACHER,6.5,0.8799999999999999,Hold,7.0
,TEACHER,3.0,0.635,Hold,0.7
,TEACHER,6.5,0.735,Hold,7.0
,TEACHER,6.5,0.81,Hold,7.0
,TEACHER,6.5,0.705,Hold,7.0
,TEACHER,7.5,0.78,Hold,7.0
,TEACHER,7.75,0.735,Hire,8.0
,TEACHER,7.2,0.8799999999999999,Hire,8.0
,TEACHER,7.0,0.64,Hire,7.0
,TEACHER,7.5,0.745,Hold,8.0
,TEACHER,7.0,0.855,Hire,8.0
,TEACHER,6.0,0.605,Hold,7.0
,TEACHER,7.5,0.9099999999999999,Hire,8.0
,TEACHER,5.0,0.635,Hold,7.0
,TEACHER,5.25,0.76,Hold,7.0
,TEACHER,7.2,0.845,Hold,8.0
,Apparel,5.5,0.32,Hire,7.0
,Apparel,4.5,0.25,Hold,6.0
,Apparel,7.0,0.7250000000000001,Hire,8.0
,Apparel,6.25,0.6599999999999999,Hold,7.0
,Apparel,5.5,0.41,Hold,6.0
,Apparel,7.4,0.81,Hire,8.0
,Apparel,6.5,0.645,Hold,7.0
,Apparel,7.0,0.7949999999999999,Hold,7.0
,Apparel,3.2,0.20500000000000002,Hold,0.7
,Apparel,4.0,0.24,Hold,7.0
,Apparel,5.5,0.525,Hold,7.0
,Apparel,5.0,0.41500000000000004,Hold,6.0
,Apparel,6.2,0.10500000000000001,Hold,7.0
,Apparel,6.25,0.29500000000000004,Hold,7.0
,Apparel,6.0,0.32,Hold,7.0
,Apparel,4.5,0.12,Hold,6.0
,Apparel,8.8,0.89,Hire,9.0
,Apparel,7.5,0.32,Hold,7.0
,Apparel,4.5,0.255,Hold,7.0
,Apparel,6.5,0.475,Hold,7.0
,Apparel,5.0,0.21000000000000002,Hold,6.0
,Apparel,6.5,0.8,Hold,7.0
,Apparel,5.0,0.195,Hold,7.0
,Apparel,6.2,0.6299999999999999,Hold,7.0
,Apparel,5.0,0.29500000000000004,Hold,7.0
,Apparel,5.0,0.385,Hold,6.0
,Apparel,5.44,0.22000000000000003,Hold,7.0
,Apparel,5.2,0.13,Hold,7.0
,Apparel,5.0,0.6799999999999999,Hold,6.0
,Apparel,5.0,0.29000000000000004,Hold,6.0
,Apparel,7.69,0.69,Hire,8.0
,Apparel,6.5,0.7949999999999999,Hold,7.0
,Apparel,7.0,0.5700000000000001,Hold,7.0
,Apparel,7.0,0.675,Hold,7.0
,Apparel,7.0,0.43,Hold,7.0
,Apparel,7.0,0.895,Hold,7.0
,Apparel,5.5,0.455,Hold,10.0
,Apparel,8.0,0.96,Hire,8.0
,Apparel,5.25,0.31,Hold,7.0
,Apparel,5.5,0.28500000000000003,Hold,6.0
,Apparel,4.0,0.08,Hold,10.0
,Apparel,7.5,0.8200000000000001,Hire,8.0
,Apparel,7.0,0.7050000000000001,Hold,7.0
,Apparel,7.0,0.8049999999999999,Hold,7.0
,Apparel,8.0,0.595,Hire,8.0
,Apparel,7.0,0.8049999999999999,Hire,7.0
,Apparel,4.38,0.14,Hold,7.0
,Apparel,6.5,0.33999999999999997,Hold,7.0
,Apparel,7.5,0.32,Hire,8.0
,Apparel,2.5,0.04,Reject,0.8
,Research Assistant,6.8,0.9450000000000001,Hold,7.0
,Research Assistant,5.6,0.865,Hold,7.0
,Research Assistant,8.0,0.935,Hire,8.0
,Research Assistant,8.1,0.9299999999999999,Hire,8.0
,Research Assistant,8.7,0.955,Hire,9.0
,Research Assistant,7.0,0.89,Hire,7.0
,Research Assistant,5.6,0.72,Hold,7.0
,Research Assistant,8.0,0.935,Hire,8.0
,Research Assistant,8.0,0.935,Hire,8.0
,Research Assistant,5.0,0.8200000000000001,Hold,7.0
,Research Assistant,6.7,0.8400000000000001,Hold,7.0
,Research Assistant,7.0,0.865,Hold,7.0
,Research Assistant,6.0,0.775,Hold,7.0
,Research Assistant,7.0,0.905,Hold,7.0
,Research Assistant,5.5,0.84,Hold,7.0
,Research Assistant,6.0,0.825,Hold,7.0
,Research Assistant,5.0,0.78,Hold,7.0
,Research Assistant,7.25,0.91,Hire,0.8
,Research Assistant,7.5,0.965,Hold,8.0
,Research Assistant,6.2,0.86,Hold,7.0
,Research Assistant,8.0,0.9,Hire,8.0
,Research Assistant,7.5,0.905,Hold,7.0
,Research Assistant,7.25,0.9099999999999999,Hold,10.0
,Research Assistant,6.8,0.86,Hold,7.0
,Research Assistant,8.0,0.885,Hire,8.0
,Research Assistant,6.8,0.855,Hire,7.0
,Research Assistant,6.5,0.89,Hold,7.0
,Research Assistant,6.5,0.855,Hold,10.0
,Research Assistant,6.5,0.835,Hold,7.0
,Research Assistant,6.5,0.82,Hold,7.0
,Research Assistant,6.6,0.81,Hold,7.0
,Research Assistant,7.0,0.835,Hire,7.0
,Research Assistant,7.5,0.9099999999999999,Hire,8.0
,Research Assistant,7.25,0.895,Hire,8.0
,Research Assistant,7.0,0.905,Hold,7.0
,Research Assistant,8.0,0.88,Hire,8.0
,Research Assistant,5.8,0.81,Hold,7.0
,Research Assistant,8.1,0.9199999999999999,Hire,8.0
,Research Assistant,7.0,0.845,Hold,7.0
,Research Assistant,6.0,0.845,Hold,10.0
,Research Assistant,7.0,0.85,Hold,7.0
,Research Assistant,8.0,0.875,Hire,8.0
,Research Assistant,8.0,0.895,Hire,8.0
,Research Assistant,7.0,0.9,Hire,7.0
,Research Assistant,8.0,0.8600000000000001,Hire,8.0
,Research Assistant,6.5,0.855,Hire,7.0
,Research Assistant,7.8,0.9199999999999999,Hire,8.0
,Research Assistant,7.2,0.875,Hire,8.0
,Research Assistant,8.07,0.92,Hire,8.0
,Research Assistant,7.5,0.9099999999999999,Hire,8.0
,Research Assistant,8.0,0.9199999999999999,Hire,8.0
